service_id,date,exception_type
16-Weekday-1-23WINT-1111100,20230306,1
16-Weekday-1-23WINT-1111100,20230307,1
16-Weekday-1-23WINT-1111100,20230308,1
16-Weekday-1-23WINT-1111100,20230309,1
16-Weekday-1-23WINT-1111100,20230310,1
16-Weekday-1-23WINT-1111100,20230313,1
16-Weekday-1-23WINT-1111100,20230314,1
16-Weekday-1-23WINT-1111100,20230315,1
16-Weekday-1-23WINT-1111100,20230316,1
16-Weekday-1-23WINT-1111100,20230317,1
16-Weekday-1-23WINT-1111100,20230320,1
16-Weekday-1-23WINT-1111100,20230321,1
16-Weekday-1-23WINT-1111100,20230322,1
16-Weekday-1-23WINT-1111100,20230323,1
16-Weekday-1-23WINT-1111100,20230324,1
16-Weekday-1-23WINT-1111100,20230327,1
16-Weekday-1-23WINT-1111100,20230328,1
16-Weekday-1-23WINT-1111100,20230329,1
16-Weekday-1-23WINT-1111100,20230330,1
16-Weekday-1-23WINT-1111100,20230331,1
16-Weekday-1-23WINT-1111100,20230403,1
16-Weekday-1-23WINT-1111100,20230404,1
16-Weekday-1-23WINT-1111100,20230405,1
16-Weekday-1-23WINT-1111100,20230406,1
16-Weekday-1-23WINT-1111100,20230410,1
16-Weekday-1-23WINT-1111100,20230411,1
16-Weekday-1-23WINT-1111100,20230412,1
16-Weekday-1-23WINT-1111100,20230413,1
16-Weekday-1-23WINT-1111100,20230414,1
16-Weekday-1-23WINT-1111100,20230417,1
16-Weekday-1-23WINT-1111100,20230418,1
16-Weekday-1-23WINT-1111100,20230419,1
16-Weekday-1-23WINT-1111100,20230420,1
16-Weekday-1-23WINT-1111100,20230421,1
19-Holiday1-1-23WINT-0000001,20230220,1
19-Holiday1-1-23WINT-0000001,20230407,1
19-Saturday-1-23WINT-0000010,20230121,1
19-Saturday-1-23WINT-0000010,20230128,1
19-Saturday-1-23WINT-0000010,20230204,1
19-Saturday-1-23WINT-0000010,20230211,1
19-Saturday-1-23WINT-0000010,20230218,1
19-Saturday-1-23WINT-0000010,20230225,1
19-Saturday-1-23WINT-0000010,20230304,1
19-Saturday-1-23WINT-0000010,20230311,1
19-Saturday-1-23WINT-0000010,20230318,1
19-Saturday-1-23WINT-0000010,20230325,1
